,roles,companies,locations,experience,skills
275,Full Stack Data Scientist,Markit India Services Private Limited,Noida,3-8 Yrs,"Automation
MySQL
Javascript
OLAP
Oracle
MS Office
Data mining
Analytics"
276,Data Scientist (Internship),BugendaiTech,Indore,0-1 Yrs,Internship
277,data scientist (internship),BugendaiTech,Pune,0-1 Yrs,Internship
278,Data Scientist,Reserve Bank Information Technology Pvt. Ltd.,Mumbai,2-4 Yrs,"C++
Change management
Automation
Analytical
Social media
Data mining
Business intelligence
Analytics"
279,Lead Data Scientist - Machine Learning/ Algorithm,Meru Mobility Tech Pvt Ltd,Mumbai,5-10 Yrs,"Data Science
R
Hive
NLP
Data Scientist
Tableau
Regression Modeling
Machine Learning"
280,Data Scientist,Diverse Lynx India Pvt. Ltd,Hyderabad,3-5 Yrs,"big data analytics
Machine learning
linear regression
Data structures
Natural language processing
Predictive modeling
Pattern recognition
Data mining"
281,Full Stack Data Scientist,Markit India Services Private Limited,Noida,3-8 Yrs,"Automation
MySQL
Javascript
OLAP
Oracle
MS Office
Data mining
Analytics"
282,Data Scientist/ML Engineer (Work from Home),COA NETWORK INDIA PRIVATE LIMITED,Hyderabad(Somajiguda),2-7 Yrs,"IT Skills
Python
Data Science
work from home
Dimensionality Reduction
Artificial Intelligence
Data cleaning
Data Transforms"
283,data scientist (internship),BugendaiTech,Lucknow,0-1 Yrs,Internship
284,Data Scientist,TensorGo Technologies Private Limited,Hyderabad,2-6 Yrs,"Computer vision
Logistic regression
Statistical analysis
data science
MySQL
Machine learning
SCALA
Programming"
285,Data Scientist - Big Data,Evolutum,United Kingdom (U.K),3-7 Yrs,"Azure
Artificial Intelligence
Hadoop
Big Data
Tableau
SSIS
Machine Learning
SQL"
286,Data Scientist,ICAV Tech Pvt. Ltd.,India,3-8 Yrs,"GIS
Software QA
C++
Life Cycle
MS SQL
C
Neural Networks
Computer Vision"
287,Data Scientist,Smart Monitor,Pune(Senapati Bapat Road),2-5 Yrs,"Spotfire
CSS
Oracle SQL
Power Bi
Html5
Artificial Intelligence
Alteryx
Neural Networks"
288,Data Scientist,GLOBAL QUEST TECHNOLOGIES,Bengaluru,0-1 Yrs,"Artificial Intelligence
Big Data
Data Mining
Data Warehousing
Machine Learning"
289,Jr.Data Scientist,Sapalogy Pvt. Ltd.,maharashtra,1-4 Yrs,"Computer science
C++
Operations research
Analytical
Machine learning
SCALA
Business intelligence
Data mining"
