,roles,companies,locations,experience,skills
153,Data Scientist - Analytics - BFS,Huquo Consulting Pvt. Ltd,"Mumbai, Bengaluru",2-7 Yrs,"Data Science
Predictive Modeling
Consulting - BFSI
Data Scientist
Data Management
Data Modeling
Data Analytics
Analytics"
154,Data Scientist - Machine Learning/ Deep Learning - BFS,Maven Workforce Pvt. Ltd,Pune,6-11 Yrs,"Data Science
NLP
SAS
Data Scientist
Data Management
Data Modeling
Data Warehousing
Data Analytics"
155,Data Scientist - Analytics,Huquo Consulting Pvt. Ltd,Mumbai,3-7 Yrs,"Data Science
Predictive Modeling
Consulting - BFSI
Data Scientist
Data Management
Data Modeling
Data Analytics
Analytics"
156,Data Scientist - Analytics - BFS,Huquo Consulting Pvt. Ltd,Mumbai,2-7 Yrs,"Data Science
Predictive Modeling
Consulting - BFSI
Data Scientist
Data Management
Data Modeling
Data Analytics
Analytics"
157,Data Scientist - Python/sas/r,Huquo Consulting Pvt. Ltd,Mumbai,2-6 Yrs,"Data Science
SAS
Data Scientist
Data Mining
Data Visualization
Web Analytics
Data Analytics
Statistics"
158,Data Scientist - Python/sas/r - Analytics Center of Excellence,Huquo Consulting Pvt. Ltd,Mumbai,2-6 Yrs,"HQL
SAS
Scala
Data Mining
Map / Reduce
Statistics
Machine Learning
SQL"
159,Data Scientist - Analytics - BFS,Huquo Consulting Pvt. Ltd,Mumbai,1-6 Yrs,"Data Science
Predictive Modeling
Consulting - BFSI
Data Scientist
Data Management
Data Modeling
Data Analytics
Analytics"
160,DATA Scientist- ( H/ F ),Societe Generale Global Solution Centre Pvt Ltd,"Chennai, India",12-15 Yrs,"Data Science
Java
R
NLP
NoSQL
Investment Banking
C
Machine Learning"
161,Data Scientist,Sumati (An Elevate Business),Chandigarh,4-7 Yrs,"Data Structures
Web Services Testing
Legal
Natural Language Processing
Data Mining
Data Visualization
Information Retrieval
Machine Learning"
162,Opening For Data Scientist - Birlasoft - Pune,BIRLASOFT LIMITED,Pune,15-20 Yrs,"Data Mining
Glm
Text Mining
Machine Learning
Statistics
Random Forest
R
NLP"
163,Data Scientist,EXL Services.com ( I ) Pvt. Ltd.,Noida,4-8 Yrs,"Power Bi
Data Scientist
Lead Data Analyst
Data Visualization
Tableau
Data Analytics"
164,Data Scientist,Impact HR Services Pvt.Ltd.,Bengaluru,6-10 Yrs,"Application Development
Data Engineering
Data Wrangling
Machine Learning
Deep Learning
Python"
165,Data Scientist/ml/dl/python/timeseries,Prokarma Softech Pvt. Ltd.,Hyderabad,8-11 Yrs,"Tensorflow
Anomaly Detection
Data Science
Time Series
Keras
Root Cause
Machine Learning
Deep Learning"
166,Senior Data Scientist,Orcapod Consulting Services Private Limited,Bengaluru,6-10 Yrs,Artificial Intelligence
167,Senior Data Scientist,Danske IT & Support Services India Pvt Ltd,Bengaluru,5-9 Yrs,"python
r
SAS
DB2
Tableau
Statistics
SQL"
168,Data Scientist - IT,Ehireo,Gurgaon,4-9 Yrs,"R
Business Solutions
Algorithms
Image Processing
Programming
Machine Learning
Python"
169,Lead Data Scientist-Python and R,HR Innovation Group,"Nagpur, Nagpur IT Park",5-8 Yrs,"R
System Design
Artificial Intelligence
Risk Evaluation
Price Forecasting
Python"
170,Data Scientist Opening with Top Healthcare organization For Bangalore,Collabera Technologies Private Limited,Bengaluru,5-10 Yrs,"NLP
Artificial Intelligence
Data Scientist
Hadoop
Pandas
Senior Data Scientist
Keras
Spark"
171,Data Scientist,Bigshyft Hiring for Indium Software,Chennai,5-8 Yrs,"Statistical Modelling
Machine Learning ML
AWS
Python"
172,Data Scientist,Bigshyft Hiring for Econolytics,"Delhi, Noida, Gurgaon",5-9 Yrs,"Data Science
R
Algorithms
Python"
173,Data Scientist/ Decision Science-analyst,EXL Services.com ( I ) Pvt. Ltd.,Delhi NCR,4-8 Yrs,"Data Transformation
Performance Testing
Model Validation
Credit Risk
Data Extraction
Risk Modeling
Machine Learning
Python"
174,Data Scientist/python Application Engineer,Impact HR Services Pvt.Ltd.,Bengaluru,6-11 Yrs,"Opencv
Image Processing
Web Technologies
Spacy
Machine Learning
Scikit - Learn
Web Scraping
Python"
175,Data Scientist,Prokarma Softech Pvt. Ltd.,Hyderabad,8-9 Yrs,"Azure
Power Bi
Data science
DL
AI
Panda
Deep learning
appdynamics"
176,"Sr. Data Scientist- Python and R , Matlab",HR Innovation Group,"Nagpur, Nagpur Itpark",5-10 Yrs,"R
adoption of AI / ML
MATLAB
Price Forecasting & Risk evaluation.
Python"
177,Excellent Opp For Data Scientist For Bangalore with top Healthcare Org,Collabera Technologies Private Limited,Bengaluru,5-10 Yrs,"NLP
Data Scientist
Hadoop
Senior Data Scientist
Keras
Spark
Machine Learning
Numpy"
178,Lead Data Scientist,Bigshyft Hiring for Qualys,Pune,7-10 Yrs,"R
Hadoop
Statistical Modelling
Deep Learning
Python"
179,Senior Data Scientist,Bigshyft Hiring for IPROM GROUP,Kolkata,8-12 Yrs,"Predictive Modelling
Machine Learning ML
Natural Language Processing NLP
Python"
180,Senior Data Scientist,Fractal Analytics Ltd,Bengaluru,4-8 Yrs,"Process automation
Biometrics
customer analytics
Prototype
Diagnostics
Analytical
Artificial Intelligence
Machine learning"
181,Data Scientist,Optum Global Solutions (India) Private Limited,Bengaluru,5-7 Yrs,"Predictive Modeling
Hadoop
Operations Research
Problem Solving
Keras
Machine Learning
Numpy
Python"
182,Senior Data Scientist,Varite India Pvt. Ltd.,Hyderabad,5-10 Yrs,"Power Bi
Artificial Intelligence
SSRS
SQL Server
Machine Learning
Statistics
Data Science
Azure ML"
183,Data Scientist,Incedo Technology Solutions Ltd.,"Pune, Delhi NCR",5-10 Yrs,"Data Science
NLP
Logistic Regression
Data Analysis
SVM
Powerpoint
Machine Learning
Lucene"
184,Principal Software Engineer -data Scientist-from Pedigree Only,Peoplefy Infosolutions Pvt. Ltd.,Bengaluru,7-12 Yrs,"Data Science
r
ggplot
Data Scientist
data mining
Data Visualization
Tableau
Machine Learning"
185,Azure IoT Data Scientist,Varite,Bengaluru,5-10 Yrs,"Backend
Hadoop
power bi
Management
Cosmos
SQL Azure
Analytics
Analysis services"
186,Senior Data Scientist,ISB,Mohali,5-10 Yrs,"Computer science
CVS
Data analysis
Social media
Machine learning
Data mining
MATLAB
Information technology"
187,Senior Data Scientist,WELLS FARGO EGS (India) PRIVATE LIMITED,Bengaluru,6-10 Yrs,"python
text mining
machine learning"
188,Data Scientist,Ciena India Private Ltd.,Pune,4-8 Yrs,"Wireless
Telecom
Product engineering
WAN
Machine learning
LAN
Agile
Apache"
189,Sr Data Scientist,Bigshyft Hiring for Zycus,Bengaluru,6-9 Yrs,"Hive
Hadoop
MySQL
Spark
Python"
190,Senior Data Scientist,Bigshyft Hiring for Innoplexus,Pune,6-10 Yrs,"NoSQL
Text Mining
Machine Learning ML
Python"
191,Senior Service Data Scientist,Philips India Limited,Pune,4-9 Yrs,"Text mining
Analytical
Artificial Intelligence
Machine learning
HTML
big data
Monitoring
SQL"
192,Senior Data Scientist,Walmart Labs,Bengaluru,5-9 Yrs,"Cloud computing
Data analysis
data science
Coding
Machine learning
Agile
Data mining
MATLAB"
193,Lead Data Scientist,Gladwin Analytics Private Limited (OPC),Bengaluru,6-9 Yrs,"Data Science
R
Data Scientist
Predictive analysis
Statistical Programming
Lead Data scientist
Machine Learning
Statistical Analysis"
194,Hiring Data Scientist / Sr. Data Scientist,Claim Genius India Pvt. Ltd.,"Nagpur, Hyderabad",4-9 Yrs,"Data Science
CNN
Image Processing
Artificial Intelligence
Neural Networks
Computer Vision
Machine Learning
Deep Learning"
195,Data Scientist,Khatabook,Bengaluru,4-9 Yrs,"SAAS
Machine learning
MOM"
196,Lead Data Scientist/ML,WHIZDOTAI INDIA PRIVATE LIMITED,Pune,10-20 Yrs,"Algorithms
Machine Learning
Python
Pytorch
Tensorflow
Data Science
R
Xgboost"
197,Lead Data Scientist,Tide Software,Hyderabad,5-10 Yrs,"Neural networks
XML
Machine learning
Agile
JSON
Natural language processing
Business intelligence
big data"
198,Sr Data Scientist,Shopgro,Bengaluru,4-9 Yrs,"Mining
deep learning
Neural networks
Time series analysis
Machine learning
SCALA
Telematics
Predictive modeling"
199,"Senior Data Scientist, Machine Learning",ExecBoardinAsia,Bengaluru,11-15 Yrs,"Prototype
Analytical
Machine learning
Packaging
model development
Analytics"
200,Data Scientist,Snaphunt,Mumbai,2-7 Yrs,"R
Scratch
Quality Improvement
Gdal
Remote Sensing
Career Development
Machine Learning
Deep Learning"
201,Data Scientist,Incedo Technology Solutions Ltd.,"Pune, Delhi NCR",5-10 Yrs,"Data Science
NLP
Logistic Regression
Data Analysis
SVM
Powerpoint
Machine Learning
Lucene"
202,Cuelogic Technologies hiring Data Scientist with Healthcare domain exp,Cuelogic Technologies PVT Ltd,Pune,5-10 Yrs,"US Healthcare
Data Science
Sagemaker
Hyperparameter
numpy
Machine Learning
pandas
medical claims data"
203,Lead Data Scientist,Core Compete Pvt. Ltd.,"Pune, Hyderabad(Gachibowli)",7-10 Yrs,"python
data science
SAS
tensorflow
nlp
regression analysis
statistical analysis
sql"
204,Lead Data Scientist,Snaphunt,Mumbai,3-8 Yrs,"Data Science
Data Quality
Business Solutions
Computer Science
Data Mining
Data Analytics
Machine Learning
Statistical Analysis"
205,Data Scientist (ml/nlp) - (iit/nit/bits),AVE-Promagne,Bengaluru,3-5 Yrs,"NLP
data science
neural networks
machine learning
ML"
206,Germany MNC Looking For Data Scientist,Pleco Migration Private Limited,"Denmark, Poland",2-7 Yrs,"data extraction
company research
senior analyst
Data Scientist
data mining
Lead Data Analyst
Data Management
Senior Data Scientist"
207,Data Scientist - Fintech Startup,3D India Staffing Research & Consulting Pvt Ltd,"Gurgaon, Gurugram",3-5 Yrs,"R
Lending
SAS
Data Scientist
Hadoop
Spark
IIM
Analytics"
208,Data Scientist - R/ Spss/ Python,Serving Skill,Japan,2-6 Yrs,"Data Science
R
DataOps
Data Scientist
Data Management
Statistical Modeling
Statistical Analyst
SPSS"
209,Data Scientist - Machine Learning - Ecommerce,TalPro,Gurgaon,2-6 Yrs,"Data Science
NLP
Data Scientist
Data Management
Data Visualization
Machine Learning
Python
SQL"
210,Senior Data Scientist,Turbohire Technologies Pvt. Ltd.,Hyderabad,2-5 Yrs,"Java
NLP
Expect
Django
Artificial Intelligence
Web Technologies
Machine Learning
Web Development"
211,Senior Data Scientist/CTO,Excel Enterprises,Chennai,3-8 Yrs,"python
data analysis
SAS
machine learning
sql
tableau
R
nlp"
212,Job | Data Scientist | Machine Learning & Statistical Analysis,Manmuk Creations,"Delhi, Mumbai, Bengaluru",2-5 Yrs,"Tensorflow
Nltk
Algorithms
Artificial Intelligence
Keras
Spacy
Machine Learning
Statistics"
213,Data Scientist(Till covid remote Work available ),Aura Placement and Services,Ahmedabad(Ashram Road),5-6 Yrs,"Business logic
NLP
GIT
Python language
AI
Data Mining
Conduct designs and code reviews
Machine Learning"
214,Senior Data Scientist - BFSI,Viaprom Technologies Pvt Ltd,Mumbai,6-8 Yrs,"Data Science
SAS Macros
SAS EG
R
SAS Sql
SAS
Data Scientist
SAS DI Studio"
215,Germany MNC Looking For Data Scientist,Pleco Migration Private Limited,"Denmark, Germany",2-7 Yrs,"data extraction
company research
senior analyst
Data Scientist
data mining
Lead Data Analyst
Data Management
Senior Data Scientist"
216,Data Scientist - Credit Risk Analysis - Fintech - IIT/ IIM/ Bits/ NIT,3D India Staffing Research Consulting Pvt Ltd,Gurgaon,3-5 Yrs,"Quantitative Analysis
Product Management
Lending
IIM
Statistical Analysis
Machine Learning
Credit Risk Analysis
Analytics"
217,Data Scientist - Fintech Startup - IIT/ IIM/ Bits/ NIT,3D India Staffing Research Consulting Pvt Ltd,Gurgaon,3-6 Yrs,"R
Lending
SAS
Hadoop
Spark
IIM
quantitative analysis
Machine Learning"
218,"Sr Data Scientist - Computer Vision, Deep Learning",HERE Technologies,"Mumbai, Mumbai City",0-0 Yrs,"Data Science
Computer Vision
Machine Learning
Deep Learning
Python"
219,Excellent Opportunity- Data Scientist @ Mumbai,Peoplefy Infosolutions Pvt. Ltd.,Mumbai,3-8 Yrs,"predictive modelling
python
tableau
data modelling
data scientist
machine learning
sql"
220,Assistant Manager/ Manager/ Data Scientist - Python/ Machine Learning,Huquo Consulting Pvt. Ltd,Bengaluru,3-8 Yrs,"Data Science
Predictive Modeling
NLP
Data Scientist
Data Management
Machine Learning
Python"
221,Walk-in Drive For Data Scientist - March 19,FTD India Pvt. Ltd,Hyderabad,3-5 Yrs,"PowerShell
Java
Chatbots
Google Dataflow
Text Mining
Machine Learning
Deep Learning
Data Science"
222,Full Stack Data Scientist,IHS India,Gurgaon,3-8 Yrs,"Automation
Technical design
MySQL
Javascript
OLAP
Oracle
MS Office
Analytics"
223,Data Scientist,TurboHire Technologies Pvt. Ltd.,India,1-4 Yrs,"Java
NLP
Expect
Django
Artificial Intelligence
Web Technologies
Machine Learning
Web Development"
224,Data Scientist,Podar Education Network Pvt Ltd,Mumbai(Parel),2-6 Yrs,"python
r
tableau
Microsoft Power BI
machine learning"
225,Data Scientist with top Fintech Startup Company,KNIGHT FINTECH RESEARCH PRIVATE LIMITED,Mumbai,3-8 Yrs,"time series analysis
python
LSTM
ai / ml
machine learning
artificial intelligence
Deep Learning
NLTK"
226,Data Scientist Level I,Bit Brothers Tech Pvt Ltd,Mumbai,2-4 Yrs,"Computer science
C++
Operations research
Analytical
Machine learning
Business intelligence
Data mining
Analytics"
227,Germany MNC Looking For Data Scientist,Pleco Migration Private Limited,"Denmark, Germany",2-7 Yrs,"data extraction
company research
senior analyst
Data Scientist
data mining
Lead Data Analyst
Data Management
Senior Data Scientist"
228,Data Scientist - Python/r,The Hiring Story,"Gurgaon, Gurugram",1-4 Yrs,"analytics
R
Data Scientist
forecasting
Regression
segmentation
machine learning
Python"
229,Senior Data Scientist - BFSI,Viaprom Technologies Pvt Ltd,Mumbai,6-8 Yrs,"Data Science
SAS Macros
SAS EG
R
SAS Sql
SAS
Data Scientist
SAS DI Studio"
230,Data Scientist - Manufacturing/r&d/engineering,Gateway Solutions,Mumbai,10-15 Yrs,"Data Science
Business Intelligence
Data Scientist
Artificial Intelligence
Data Management
Data Visualization
Tableau
Data Analytics"
231,Data Scientist - Nlp/r/python,The Hiring Story,Hyderabad,2-5 Yrs,"Data Science
R
NLP
NoSQL
Data Scientist
Data Management
Python
SQL"
232,Full Stack Data Scientist,IHS India,"Gurgaon, haryana",3-8 Yrs,"Automation
Technical design
MySQL
Javascript
OLAP
Oracle
MS Office
Analytics"
233,Data Scientist with top Fintech Startup Company,KNIGHT FINTECH RESEARCH PRIVATE LIMITED,Mumbai,3-8 Yrs,"time series analysis
python
LSTM
ai / ml
machine learning
artificial intelligence
Deep Learning
NLTK"
234,Germany MNC Looking For Data Scientist,Pleco Migration Private Limited,"Denmark, Poland",2-7 Yrs,"data extraction
company research
senior analyst
Data Scientist
data mining
Lead Data Analyst
Data Management
Senior Data Scientist"
235,Consultant - Data Scientist,Huquo Consulting Pvt. Ltd,Delhi,3-6 Yrs,"Data Science
SAS
Data Scientist
Data Management
Tableau
Data Analytics
Statistics
Analytics"
236,Full Stack Data Scientist,IHS India,Bengaluru,3-8 Yrs,"Automation
Technical design
MySQL
Javascript
OLAP
Oracle
MS Office
Analytics"
237,Full Stack Data Scientist,IHS India,Noida,3-8 Yrs,"Automation
MySQL
Javascript
OLAP
Oracle
MS Office
Data mining
Analytics"
238,Full Stack Data Scientist,IHS India,Noida,3-8 Yrs,"Automation
MySQL
Javascript
OLAP
Oracle
MS Office
Data mining
Analytics"
239,Excellent Opportunity- Data Scientist @ Mumbai,Peoplefy Infosolutions Pvt. Ltd.,Mumbai,3-8 Yrs,"predictive modelling
python
tableau
data modelling
data scientist
machine learning
sql"
240,Data Scientist - Machine/deep Learning Algorithms,CarbyneTech India,Hyderabad,3-8 Yrs,"Data Science
NLP
Data Scientist
Artificial Intelligence
Neural Networks
Machine Learning
Deep Learning
Python"
241,Data Scientist ( Virtual/ Work from Home),Axim Technologies,"Nagpur, Lucknow, Mangalore, Mysore, Indore, Patna, Visakhapatnam, Jaipur",3-5 Yrs,"IT Skills
Python
Machine Learning
Big Data
work from home
R
Artificial Neural Networks
Data Scientist"
242,Full Stack Data Scientist,IHS India,Gurgaon,3-8 Yrs,"Automation
Technical design
MySQL
Javascript
OLAP
Oracle
MS Office
Analytics"
243,Data Scientist Level I,Bit Brothers Tech Pvt Ltd,Mumbai,2-4 Yrs,"Computer science
C++
Operations research
Analytical
Machine learning
Business intelligence
Data mining
Analytics"
244,"Data Scientist, Machine Learning Exp req",Creative Hands HR Consultancy,"Chennai, Bengaluru, Hyderabad",3-6 Yrs,"Data Science
Data scientist
Communication Skills
R
good communication
Algorithms
Data Extraction
Tableau"
245,Data Scientist - R/ Spss/ Python,Serving Skill,Japan,2-6 Yrs,"Data Science
R
DataOps
Data Scientist
Data Management
Statistical Modeling
Statistical Analyst
SPSS"
246,Data Scientist - Fintech Startup,3D India Staffing Research & Consulting Pvt Ltd,"Gurgaon, Gurugram",3-5 Yrs,"R
Lending
SAS
Data Scientist
Hadoop
Spark
IIM
Analytics"
247,Python Data Scientist - Banking/retail Domain,Huquo Consulting Pvt. Ltd,Delhi NCR,1-5 Yrs,"Data Science
NLP
SAS
Data Scientist
Data Management
Data Analytics
Statistics
Analytics"
248,Data Scientist,CHANGE LEADERS CONSULTING,Gurgaon,1-3 Yrs,"Data Scientist
data modelling"
249,Senior Data Scientist - Banking & Financial Services,Rinalytics Advisors,Mumbai,5-9 Yrs,"Data Science
Communication Skills
Financial Services
Finance
Classification
Banking
Machine Learning
Python"
250,Full Stack Data Scientist,IHS India,"Gurgaon, haryana",3-8 Yrs,"Automation
Technical design
MySQL
Javascript
OLAP
Oracle
MS Office
Analytics"
251,Data Scientist - Credit Risk Analysis - Fintech - IIT/ IIM/ Bits/ NIT,3D India Staffing Research Consulting Pvt Ltd,Gurgaon,3-5 Yrs,"Quantitative Analysis
Product Management
Lending
IIM
Statistical Analysis
Machine Learning
Credit Risk Analysis
Analytics"
252,Full Stack Data Scientist,IHS India,Bengaluru,3-8 Yrs,"Automation
Technical design
MySQL
Javascript
OLAP
Oracle
MS Office
Analytics"
253,Data Scientist - Fintech Startup - IIT/ IIM/ Bits/ NIT,3D India Staffing Research Consulting Pvt Ltd,Gurgaon,3-6 Yrs,"R
Lending
SAS
Hadoop
Spark
IIM
quantitative analysis
Machine Learning"
254,Full Stack Data Scientist,IHS India,Noida,3-8 Yrs,"Automation
MySQL
Javascript
OLAP
Oracle
MS Office
Data mining
Analytics"
255,Full Stack Data Scientist,IHS India,Noida,3-8 Yrs,"Automation
MySQL
Javascript
OLAP
Oracle
MS Office
Data mining
Analytics"
256,"Sr Data Scientist - Computer Vision, Deep Learning",HERE Technologies,"Mumbai, Mumbai City",0-0 Yrs,"Data Science
Computer Vision
Machine Learning
Deep Learning
Python"
257,Data Scientist III,Concentrix Technologies India Pvt. Ltd,Gurgaon,2-6 Yrs,"UI development
Object oriented design
metadata
Team management
Machine learning
JSON
Open source
SDLC"
